ccd,bit,n_bpm1,n_bpm2,pcent_bpm1,pcent_bpm2,diff
1,0,7937879,7937885,94.62689161300659,94.62696313858032,-6
1,1,14333,14332,0.17086267471313477,0.1708507537841797,1
1,2,70904,71845,0.8452415466308594,0.8564591407775879,-941
1,4,0,0,0.0,0.0,0
1,8,17,16,0.00020265579223632812,0.00019073486328125,1
1,16,1021,1021,0.012171268463134766,0.012171268463134766,0
1,32,0,0,0.0,0.0,0
1,64,14060,14060,0.16760826110839844,0.16760826110839844,0
1,128,183420,183420,2.1865367889404297,2.1865367889404297,0
1,256,0,0,0.0,0.0,0
1,512,0,0,0.0,0.0,0
1,1024,139264,139264,1.66015625,1.66015625,0
1,2048,62,56,0.0007390975952148438,0.000667572021484375,6
1,4096,0,0,0.0,0.0,0
1,8192,204800,204800,2.44140625,2.44140625,0
1,16384,86214,86214,1.0277509689331055,1.0277509689331055,0
2,0,8042819,8035583,95.87787389755249,95.79161405563354,7236
2,1,14359,14363,0.1711726188659668,0.1712203025817871,-4
2,2,65663,66282,0.7827639579772949,0.7901430130004883,-619
2,4,0,0,0.0,0.0,0
2,8,1,2793,1.1920928955078125e-05,0.0332951545715332,-2792
2,16,34,8982,0.00040531158447265625,0.10707378387451172,-8948
2,32,0,0,0.0,0.0,0
2,64,2786,4096,0.033211708068847656,0.048828125,-1310
2,128,183420,183420,2.1865367889404297,2.1865367889404297,0
2,256,0,0,0.0,0.0,0
2,512,0,0,0.0,0.0,0
2,1024,0,0,0.0,0.0,0
2,2048,1,1,1.1920928955078125e-05,1.1920928955078125e-05,0
2,4096,0,0,0.0,0.0,0
2,8192,204800,204800,2.44140625,2.44140625,0
2,16384,103768,103768,1.2370109558105469,1.2370109558105469,0
3,0,7956202,7956449,94.84531879425049,94.84826326370239,-247
3,1,14375,14370,0.17136335372924805,0.17130374908447266,5
3,2,61844,62324,0.7372379302978516,0.7429599761962891,-480
3,4,0,0,0.0,0.0,0
3,8,1,0,1.1920928955078125e-05,0.0,1
3,16,35,5,0.0004172325134277344,5.9604644775390625e-05,30
3,32,0,0,0.0,0.0,0
3,64,233,0,0.002777576446533203,0.0,233
3,128,183420,183420,2.1865367889404297,2.1865367889404297,0
3,256,0,0,0.0,0.0,0
3,512,0,0,0.0,0.0,0
3,1024,94208,94208,1.123046875,1.123046875,0
3,2048,21,17,0.0002503395080566406,0.00020265579223632812,4
3,4096,0,0,0.0,0.0,0
3,8192,204800,204800,2.44140625,2.44140625,0
3,16384,116231,116231,1.3855814933776855,1.3855814933776855,0
4,0,8020205,8020205,95.60829401016235,95.60829401016235,0
4,1,21323,21339,0.25418996810913086,0.2543807029724121,-16
4,2,68426,69170,0.8157014846801758,0.8245706558227539,-744
4,4,0,0,0.0,0.0,0
4,8,0,0,0.0,0.0,0
4,16,0,0,0.0,0.0,0
4,32,0,0,0.0,0.0,0
4,64,0,0,0.0,0.0,0
4,128,183420,183420,2.1865367889404297,2.1865367889404297,0
4,256,0,0,0.0,0.0,0
4,512,0,0,0.0,0.0,0
4,1024,20480,20480,0.244140625,0.244140625,0
4,2048,2,2,2.384185791015625e-05,2.384185791015625e-05,0
4,4096,0,0,0.0,0.0,0
4,8192,204800,204800,2.44140625,2.44140625,0
4,16384,110189,110189,1.3135552406311035,1.3135552406311035,0
5,0,8035860,8035860,95.7949161529541,95.7949161529541,0
5,1,14546,14560,0.1734018325805664,0.1735687255859375,-14
5,2,65371,65921,0.7792830467224121,0.7858395576477051,-550
5,4,0,0,0.0,0.0,0
5,8,0,0,0.0,0.0,0
5,16,3,3,3.5762786865234375e-05,3.5762786865234375e-05,0
5,32,0,0,0.0,0.0,0
5,64,0,0,0.0,0.0,0
5,128,183420,183420,2.1865367889404297,2.1865367889404297,0
5,256,0,0,0.0,0.0,0
5,512,0,0,0.0,0.0,0
5,1024,0,0,0.0,0.0,0
5,2048,20,20,0.0002384185791015625,0.0002384185791015625,0
5,4096,0,0,0.0,0.0,0
5,8192,204800,204800,2.44140625,2.44140625,0
5,16384,115193,115193,1.3732075691223145,1.3732075691223145,0
6,0,8023318,8023313,95.64540386199951,95.64534425735474,5
6,1,14350,14351,0.1710653305053711,0.17107725143432617,-1
6,2,79636,80846,0.9493350982666016,0.9637594223022461,-1210
6,4,0,0,0.0,0.0,0
6,8,0,0,0.0,0.0,0
6,16,3,7,3.5762786865234375e-05,8.344650268554688e-05,-4
6,32,0,0,0.0,0.0,0
6,64,0,0,0.0,0.0,0
6,128,183420,183420,2.1865367889404297,2.1865367889404297,0
6,256,0,0,0.0,0.0,0
6,512,6200,6200,0.07390975952148438,0.07390975952148438,0
6,1024,12288,12288,0.146484375,0.146484375,0
6,2048,32,32,0.0003814697265625,0.0003814697265625,0
6,4096,0,0,0.0,0.0,0
6,8192,204800,204800,2.44140625,2.44140625,0
6,16384,109145,109145,1.301109790802002,1.301109790802002,0
7,0,8021589,8028480,95.62479257583618,95.70693969726562,-6891
7,1,22518,22517,0.2684354782104492,0.26842355728149414,1
7,2,61969,62486,0.7387280464172363,0.7448911666870117,-517
7,4,0,0,0.0,0.0,0
7,8,2288,1,0.02727508544921875,1.1920928955078125e-05,2287
7,16,9235,67,0.11008977890014648,0.0007987022399902344,9168
7,32,0,0,0.0,0.0,0
7,64,4096,2283,0.048828125,0.02721548080444336,1813
7,128,183420,183420,2.1865367889404297,2.1865367889404297,0
7,256,0,0,0.0,0.0,0
7,512,0,0,0.0,0.0,0
7,1024,12288,12288,0.146484375,0.146484375,0
7,2048,32,57,0.0003814697265625,0.0006794929504394531,-25
7,4096,0,0,0.0,0.0,0
7,8192,204800,204800,2.44140625,2.44140625,0
7,16384,107647,107647,1.283252239227295,1.283252239227295,0
8,0,8011283,8011280,95.50193548202515,95.50189971923828,3
8,1,14350,14350,0.1710653305053711,0.1710653305053711,0
8,2,76495,76949,0.9118914604187012,0.9173035621643066,-454
8,4,0,0,0.0,0.0,0
8,8,0,0,0.0,0.0,0
8,16,1,4,1.1920928955078125e-05,4.76837158203125e-05,-3
8,32,0,0,0.0,0.0,0
8,64,0,0,0.0,0.0,0
8,128,183420,183420,2.1865367889404297,2.1865367889404297,0
8,256,0,0,0.0,0.0,0
8,512,6200,6200,0.07390975952148438,0.07390975952148438,0
8,1024,0,0,0.0,0.0,0
8,2048,7,7,8.344650268554688e-05,8.344650268554688e-05,0
8,4096,0,0,0.0,0.0,0
8,8192,204800,204800,2.44140625,2.44140625,0
8,16384,135856,135856,1.6195297241210938,1.6195297241210938,0
9,0,8012670,8012670,95.51846981048584,95.51846981048584,0
9,1,14387,14387,0.17150640487670898,0.17150640487670898,0
9,2,79312,80223,0.9454727172851562,0.9563326835632324,-911
9,4,0,0,0.0,0.0,0
9,8,0,0,0.0,0.0,0
9,16,4,2,4.76837158203125e-05,2.384185791015625e-05,2
9,32,0,0,0.0,0.0,0
9,64,0,0,0.0,0.0,0
9,128,183420,183420,2.1865367889404297,2.1865367889404297,0
9,256,0,0,0.0,0.0,0
9,512,10260,10260,0.12230873107910156,0.12230873107910156,0
9,1024,0,0,0.0,0.0,0
9,2048,725,725,0.00864267349243164,0.00864267349243164,0
9,4096,0,0,0.0,0.0,0
9,8192,204800,204800,2.44140625,2.44140625,0
9,16384,128357,128357,1.530134677886963,1.530134677886963,0
10,0,8008153,8014170,95.46462297439575,95.53635120391846,-6017
10,1,22560,22560,0.2689361572265625,0.2689361572265625,0
10,2,62796,63379,0.7485866546630859,0.7555365562438965,-583
10,4,0,0,0.0,0.0,0
10,8,13,10,0.00015497207641601562,0.00011920928955078125,3
10,16,232,195,0.002765655517578125,0.0023245811462402344,37
10,32,0,0,0.0,0.0,0
10,64,25732,19707,0.3067493438720703,0.2349257469177246,6025
10,128,183420,183420,2.1865367889404297,2.1865367889404297,0
